"company";"year";"inhabitans";"tram_efficency";"bus_efficency";"total_efficency";"adj_tram_eff";"adj_bus_eff";"adj_total_eff"
"1";"Augsburg (Stawa)";"1994";"366333";"0.306681062726974";"0.596617911843825";"0.561366027183443";"112347.393751961";"218560.829499484";"205646.900836192"
"2";"Augsburg (Stawa)";"1995";"364473";"0.339793159670882";"0.602402679428571";"0.575162298008485";"123845.432284725";"219559.51177937";"209631.128242046"
"3";"Augsburg (Stawa)";"1996";"364586";"0.361086877112919";"0.570124932196166";"0.543089579340937";"131647.220179091";"207859.568529672";"198002.857373595"
"4";"Augsburg (Stawa)";"1997";"363322";"0.401473879484289";"0.548403942833679";"0.530505615053061";"145864.292841991";"199247.217318218";"192744.361072308"
"5";"Augsburg (Stawa)";"1998";"361271";"0.403630399400988";"0.556508355464113";"0.535726189957531";"145819.958021994";"201050.330086876";"193542.336372147"
"6";"Augsburg (Stawa)";"1999";"363320";"0.416323383286857";"0.535422033177784";"0.517039674128685";"151258.611615781";"194529.533094152";"187850.854404434"
"7";"Augsburg (Stawa)";"2000";"361073";"0.447711898401217";"0.504169762817284";"0.495455736791028";"161656.678291423";"182042.088769725";"178895.689250347"
"8";"Augsburg (Stawa)";"2001";"364927";"0.497511524418569";"0.510277920056224";"0.508075747825239";"181555.388071495";"186214.190532358";"185410.558426621"
"9";"Augsburg (Stawa)";"2002";"370419";"0.50444931416798";"0.508698197530493";"0.507897585219616";"186857.610504789";"188431.477631048";"188134.915619465"
"10";"Augsburg (Stawa)";"2003";"394023";"0.487086321605568";"0.510999957334362";"0.507047750312145";"191923.213697991";"201345.736188757";"199788.475721242"
"11";"Augsburg (Stawa)";"2004";"395554";"0.514530085665127";"0.574256395029706";"0.5643854267688";"203524.433505184";"227149.41407958";"223244.913100106"
"12";"Augsburg (Stawa)";"2005";"389145";"0.569436649429138";"0.601216959347653";"0.595964626935608";"221593.424942102";"233960.573645342";"231916.654748857"
"13";"Augsburg (Stawa)";"2006";"387203";"0.565035628314603";"0.568723603825064";"0.568117197476656";"218783.490390299";"220211.485571876";"219976.683214554"
"14";"Bielefeld (moBiel)";"1994";"299036";"0.39129058335092";"0.517770530801121";"0.509869377059093";"117009.970882926";"154832.028448644";"152469.299038243"
"15";"Bielefeld (moBiel)";"1995";"299036";"0.410996706661631";"0.555365477701308";"0.548181445434129";"122902.811173267";"166074.270989888";"163925.98671684"
"16";"Bielefeld (moBiel)";"1996";"302550";"0.450031566471535";"0.574325046974424";"0.567773067330577";"136157.050435963";"173762.042962112";"171779.741520866"
"17";"Bielefeld (moBiel)";"1997";"302089";"0.482542933595247";"0.567187225446034";"0.562967513703103";"145770.912266855";"171341.021747767";"170066.293247057"
"18";"Bielefeld (moBiel)";"1998";"298316";"0.480535593059483";"0.592680351468154";"0.587405249591788";"143351.455979133";"176806.031728574";"175232.384437224"
"19";"Bielefeld (moBiel)";"1999";"297368";"0.418003564268137";"0.609784479625778";"0.600456278014075";"124300.883899287";"181330.391137358";"178556.482480489"
